id,amueblado,habitaciones,descripcionMenaje,tieneSeguro,descripcionSeguro
4269,1,10,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",0,""
4337,1,1,Suspendisse potenti. Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,0,""
4582,0,7,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",1,
4396,1,3,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.",1,
4776,1,7,Phasellus in felis. Donec semper sapien a libero. Nam dui.,1,
4156,1,6,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",1,
4916,0,5,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",0,""
4350,0,3,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",1,
4829,1,5,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",1,
4501,1,7,Duis bibendum.,1,
4908,0,8,Nulla mollis molestie lorem.,1,
4618,1,8,"Proin at turpis a pede posuere nonummy. Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",1,
4006,1,10,Vivamus tortor.,1,
4759,1,3,Nulla nisl.,1,
4607,1,5,Curabitur convallis.,0,""
4949,1,7,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",0,""
4767,0,5,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",1,
4714,1,8,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh. Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.",0,""
4709,1,6,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,1,
4619,1,5,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",0,""
4366,1,2,Phasellus in felis. Donec semper sapien a libero. Nam dui.,1,
4845,1,8,Vivamus tortor. Duis mattis egestas metus.,1,
4618,0,8,In hac habitasse platea dictumst.,1,
4726,0,2,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,1,
4282,0,6,Pellentesque ultrices mattis odio. Donec vitae nisi.,1,
4259,1,8,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",0,""
4818,0,2,Nunc purus.,0,""
4754,0,4,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat. Nulla nisl.",1,
4180,1,7,Nulla mollis molestie lorem.,0,""
4212,1,4,Pellentesque viverra pede ac diam.,0,""
4962,1,2,Donec vitae nisi.,1,
4123,1,2,Maecenas rhoncus aliquam lacus.,0,""
4634,0,7,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",1,
4957,1,4,Vivamus tortor. Duis mattis egestas metus.,0,""
4553,1,1,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",1,
4847,0,3,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",0,""
4193,1,9,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",0,""
4489,0,10,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0,""
4475,0,7,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",0,""
4513,1,8,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,1,
4409,1,2,Suspendisse potenti. In eleifend quam a odio.,0,""
4596,0,1,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",1,
4931,1,4,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,1,
4049,1,4,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",1,
4400,1,1,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",0,""
4393,0,4,Vestibulum rutrum rutrum neque.,1,
4664,1,2,Nullam molestie nibh in lectus. Pellentesque at nulla. Suspendisse potenti.,0,""
4861,0,10,Proin risus.,1,
4024,0,7,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",0,""
4614,0,6,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,0,""
4012,0,6,Sed accumsan felis. Ut at dolor quis odio consequat varius. Integer ac leo.,1,
4737,1,2,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.,0,""
4149,1,3,In quis justo. Maecenas rhoncus aliquam lacus.,0,""
4574,0,3,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",1,
4605,1,5,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,1,
4227,0,4,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",0,""
4408,0,1,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",0,""
4699,0,2,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",1,
4560,1,6,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,1,
4518,0,3,Praesent id massa id nisl venenatis lacinia. Aenean sit amet justo. Morbi ut odio.,1,
4407,0,4,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",0,""
4115,1,5,Pellentesque at nulla.,1,
4647,1,8,Nulla nisl.,0,""
4075,0,10,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",0,""
4257,0,2,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",0,""
4611,0,9,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,0,""
4706,0,8,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,0,""
4200,0,4,Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit.,0,""
4510,1,6,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,0,""
4655,0,3,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",1,
4487,0,2,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",1,
4806,0,10,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,0,""
4059,1,1,Vestibulum sed magna at nunc commodo placerat. Praesent blandit. Nam nulla.,1,
4764,0,5,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",0,""
4842,1,5,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",1,
4766,0,5,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,1,
4074,0,10,Integer a nibh. In quis justo.,0,""
4037,0,6,Quisque ut erat. Curabitur gravida nisi at nibh.,1,
4326,0,7,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,0,""
4621,0,4,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",0,""
4610,0,5,Quisque porta volutpat erat.,0,""
4017,0,5,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum. Proin eu mi.,1,
4259,1,3,Nulla facilisi.,1,
4102,1,6,Nulla nisl. Nunc nisl.,0,""
4102,0,10,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,0,""
4043,1,1,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",1,
4734,0,2,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,0,""
4157,1,10,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1,
4493,1,10,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",0,""
4061,1,8,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,0,""
4483,0,3,Ut at dolor quis odio consequat varius. Integer ac leo.,1,
4133,0,10,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",0,""
4830,0,3,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,0,""
4884,1,8,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",1,
4622,0,2,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",0,""
4454,0,10,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.",1,
4707,0,2,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",0,""
4352,1,5,Maecenas pulvinar lobortis est.,1,
4746,1,2,Nulla tellus. In sagittis dui vel nisl. Duis ac nibh.,0,""
4686,1,1,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,1,
4278,1,9,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",1,
4354,0,7,Vivamus in felis eu sapien cursus vestibulum. Proin eu mi. Nulla ac enim.,0,""
4504,1,7,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",1,
4220,0,7,Phasellus sit amet erat. Nulla tempus.,1,
4507,1,9,Duis mattis egestas metus.,0,""
4240,1,8,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",0,""
4782,0,5,Suspendisse potenti.,0,""
4389,0,5,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique.",1,
4631,1,9,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",1,
4830,0,8,Proin eu mi.,0,""
4524,1,5,"Donec semper sapien a libero. Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",0,""
4907,1,2,"Fusce posuere felis sed lacus. Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",0,""
4001,1,1,Duis bibendum. Morbi non quam nec dui luctus rutrum.,0,""
4830,1,9,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",0,""
4437,1,8,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",0,""
4060,1,6,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",0,""
4955,0,9,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",1,
4153,0,2,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",1,
4844,0,5,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",1,
4667,1,3,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,0,""
4145,0,2,Quisque ut erat. Curabitur gravida nisi at nibh.,0,""
4196,0,7,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",1,
4907,1,6,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",1,
4569,1,6,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,1,
4626,1,7,Integer ac neque. Duis bibendum.,0,""
4790,1,2,Quisque ut erat. Curabitur gravida nisi at nibh.,1,
4218,1,9,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,0,""
4615,1,7,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero.",0,""
4354,1,6,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",0,""
4545,0,9,Nam tristique tortor eu pede.,0,""
4379,0,4,Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,0,""
4062,1,10,Duis bibendum. Morbi non quam nec dui luctus rutrum.,1,
4204,1,4,Nam nulla.,1,
4005,1,6,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,1,
4857,1,7,In blandit ultrices enim.,1,
4205,0,6,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,0,""
4272,0,2,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",1,
4371,1,9,Donec dapibus. Duis at velit eu est congue elementum. In hac habitasse platea dictumst.,1,
4920,0,5,"Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",1,
4115,0,7,Praesent blandit.,1,
4306,1,4,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",0,""
4827,0,1,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",1,
4602,0,2,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",1,
4172,1,4,Nulla justo.,0,""
4934,1,1,Aliquam quis turpis eget elit sodales scelerisque.,0,""
4940,0,2,In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,1,
4343,0,1,Sed accumsan felis.,0,""
4089,0,6,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,0,""
4301,0,2,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci. Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.",1,
4476,1,1,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",1,
4548,1,5,Vestibulum ac est lacinia nisi venenatis tristique.,1,
4235,1,9,Vestibulum ac est lacinia nisi venenatis tristique.,1,
4702,1,2,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,1,
4126,0,4,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",0,""
4708,0,5,Proin at turpis a pede posuere nonummy. Integer non velit.,0,""
4576,1,5,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",1,
4022,0,8,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",0,""
4879,0,10,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1,
4741,0,3,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",1,
4712,0,7,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,0,""
4552,0,7,"Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",0,""
4202,1,8,Proin risus.,0,""
4310,0,9,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum.",1,
4303,0,8,Integer ac neque. Duis bibendum.,1,
4662,1,4,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",0,""
4854,0,2,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,1,
4540,0,8,Donec quis orci eget orci vehicula condimentum.,0,""
4621,0,1,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum. Integer a nibh.,0,""
4074,0,6,Cras non velit nec nisi vulputate nonummy.,0,""
4565,0,7,Etiam justo. Etiam pretium iaculis justo. In hac habitasse platea dictumst.,1,
4648,1,8,Donec ut dolor.,1,
4325,0,7,Donec ut mauris eget massa tempor convallis.,1,
4249,0,8,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",0,""
4420,1,3,"Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",1,
4172,1,6,Nulla ut erat id mauris vulputate elementum. Nullam varius.,0,""
4361,0,1,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",0,""
4860,0,8,Integer tincidunt ante vel ipsum.,1,
4982,1,1,Proin at turpis a pede posuere nonummy.,1,
4647,1,8,Nulla justo.,0,""
4664,0,6,Nulla tellus. In sagittis dui vel nisl.,1,
4253,1,7,Fusce consequat. Nulla nisl. Nunc nisl.,1,
4707,0,9,Phasellus sit amet erat. Nulla tempus.,0,""
4581,1,3,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",0,""
4628,1,1,In eleifend quam a odio.,0,""
4339,1,2,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.",1,
4641,0,2,In quis justo.,0,""
4243,1,10,"Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",1,
4364,1,2,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,0,""
4490,0,6,Nunc purus. Phasellus in felis. Donec semper sapien a libero.,1,
4326,0,8,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,0,""
4230,1,9,Suspendisse potenti.,1,
4404,0,4,Integer ac leo.,1,
4660,0,7,Morbi non quam nec dui luctus rutrum. Nulla tellus.,0,""
4224,0,9,"Nulla nisl. Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",0,""
4032,0,2,"Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",0,""
4413,0,7,Pellentesque eget nunc.,1,
4601,0,8,Duis mattis egestas metus.,1,
4935,0,10,Phasellus in felis.,1,
4409,0,3,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla. Sed accumsan felis.",0,""
4413,1,4,"Suspendisse potenti. Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1,
4702,1,7,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla. Sed vel enim sit amet nunc viverra dapibus.",0,""
4139,0,8,Proin eu mi. Nulla ac enim.,1,
4356,1,5,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",1,
4673,1,8,In quis justo. Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,0,""
4060,1,1,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,1,
4878,0,10,Aenean auctor gravida sem. Praesent id massa id nisl venenatis lacinia.,1,
4933,1,6,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue.",1,
4269,0,5,"Praesent blandit. Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",1,
4346,0,9,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,0,""
4025,0,2,Integer ac neque. Duis bibendum.,0,""
4108,1,4,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,0,""
4548,1,6,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,0,""
4496,0,10,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci. Nullam molestie nibh in lectus. Pellentesque at nulla.",1,
4690,1,1,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,0,""
4157,0,4,Mauris lacinia sapien quis libero. Nullam sit amet turpis elementum ligula vehicula consequat.,1,
4430,1,4,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,0,""
4114,0,2,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna.,1,
4585,1,8,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,1,
4329,1,1,Etiam vel augue.,0,""
4829,0,6,Nulla suscipit ligula in lacus.,0,""
4963,0,2,Etiam faucibus cursus urna.,1,
4768,1,9,Vestibulum sed magna at nunc commodo placerat.,1,
4797,1,4,Aliquam quis turpis eget elit sodales scelerisque.,1,
4646,1,1,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",1,
4216,1,2,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.,0,""
4165,1,4,"Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",1,
4403,0,3,"Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",0,""
4228,1,6,Nullam sit amet turpis elementum ligula vehicula consequat.,1,
4359,1,6,Aenean auctor gravida sem.,1,
4352,1,3,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,1,
4453,0,6,"Pellentesque ultrices mattis odio. Donec vitae nisi. Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",1,
4619,1,3,Nunc rhoncus dui vel sem. Sed sagittis.,0,""
4586,1,10,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",1,
4239,1,7,Phasellus in felis. Donec semper sapien a libero.,1,
4939,1,3,Integer a nibh. In quis justo. Maecenas rhoncus aliquam lacus.,1,
4619,0,6,Phasellus sit amet erat. Nulla tempus.,0,""
4514,0,7,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.",1,
4604,0,2,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",1,
4847,1,2,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",1,
4522,0,8,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.",1,
4873,1,8,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",1,
4056,1,5,Donec ut dolor.,0,""
4514,0,6,Nulla tempus.,0,""
4193,1,4,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,0,""
4486,0,6,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",1,
4137,1,7,Etiam vel augue. Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,1,
4828,0,4,Nunc purus. Phasellus in felis. Donec semper sapien a libero.,0,""
4937,1,8,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",0,""
4053,0,1,Donec semper sapien a libero. Nam dui.,0,""
4508,0,9,Maecenas pulvinar lobortis est.,1,
4476,1,7,In hac habitasse platea dictumst.,1,
4221,1,6,Duis consequat dui nec nisi volutpat eleifend.,1,
4890,1,7,Praesent lectus.,1,
4867,0,8,Suspendisse accumsan tortor quis turpis. Sed ante.,1,
4137,1,4,"Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",1,
4839,0,9,Curabitur in libero ut massa volutpat convallis.,0,""
4667,1,3,Maecenas pulvinar lobortis est. Phasellus sit amet erat. Nulla tempus.,1,
4169,0,5,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",1,
4198,0,5,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,1,
4144,0,1,Mauris ullamcorper purus sit amet nulla.,1,
4215,0,2,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem. Duis aliquam convallis nunc.",0,""
4347,1,8,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",0,""
4036,1,8,Integer a nibh. In quis justo.,1,
4525,0,8,Aenean sit amet justo. Morbi ut odio.,1,
4894,1,10,Suspendisse accumsan tortor quis turpis. Sed ante.,1,
4499,1,10,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,1,
4871,1,10,Curabitur gravida nisi at nibh. In hac habitasse platea dictumst.,1,
4915,0,9,Mauris sit amet eros.,1,
4063,0,3,Etiam vel augue.,1,
4086,1,1,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus. Praesent lectus.",1,
4600,1,1,Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet.,1,
4022,1,3,Etiam pretium iaculis justo. In hac habitasse platea dictumst.,0,""
4437,0,8,Suspendisse potenti. In eleifend quam a odio.,1,
